"","site","veg_type","exp","location","soil_moisture","pH","plot_Id_pair","unique_plotID","unique_sampID","treatment","myc_assoc","isolate","mel_status","harvest_date","incub_period.days","incub_period.wks","incub_period.months","incub_period.years","mass_remaining","mt.mo","notes","logmt.mo","lmt.mo"
"1","cedar creek","Prairie","CC_praire2","field_0",16.53333333,4.9025,"field0_1","22"," CCP2_71","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",37.69230769,0.376923077,"",0.319851355441039,-0.498373080599977
"2","cedar creek","Prairie","CC_praire2","field_0",16.73333333,4.925,"field0_1","22"," CCP2_77","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",49.80079681,0.498007968,"",0.404136204173004,-0.00396813320687067
"3","cedar creek","Prairie","CC_praire2","field_0",16.73333333,4.925,"field0_1","22"," CCP2_72","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",39.35742972,0.393574297,"",0.331871883346705,-0.428124397294088
"4","cedar creek","Prairie","CC_praire2","field_0",16.53333333,4.9025,"field0_1","22"," CCP2_73","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",43.79844961,0.437984496,"",0.363242477599564,-0.245284445681632
"5","cedar creek","Prairie","CC_praire2","field_0",13.2,4.843,"field0_2","25"," CCP2_111","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",46.33204633,0.463320463,"",0.380708143163891,-0.14296113668624
"6","cedar creek","Prairie","CC_praire2","field_0",12.93333333,4.903,"field0_2","25"," CCP2_115","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",58.17490494,0.581749049,"",0.458531227811864,0.334068804248449
"7","cedar creek","Prairie","CC_praire2","field_0",13.2,4.843,"field0_2","25"," CCP2_110","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",46.18473896,0.46184739,"",0.379700971474231,-0.148884855557274
"8","cedar creek","Prairie","CC_praire2","field_0",12.93333333,4.903,"field0_2","25"," CCP2_113","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",50.57034221,0.505703422,"",0.409260179041362,0.0268152947016861
"9","cedar creek","Prairie","CC_praire2","field_0",12.8,4.7905,"field0_3","28"," CCP2_150","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",53.1496063,0.531496063,"",0.426245076605051,0.130167734045362
"10","cedar creek","Prairie","CC_praire2","field_0",12.8,4.8985,"field0_3","28"," CCP2_151","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",56.640625,0.56640625,"",0.448783982827007,0.271276471582932
"11","cedar creek","Prairie","CC_praire2","field_0",12.8,4.7905,"field0_3","28"," CCP2_145","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",39.54372624,0.395437262,"",0.333207815620675,-0.420332193005322
"12","cedar creek","Prairie","CC_praire2","field_0",12.8,4.8985,"field0_3","28"," CCP2_149","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",44.88188976,0.448818898,"",0.370748671400394,-0.2014024475194
"13","cedar creek","Prairie","CC_praire2","field_0",12.13333333,4.6605,"field0_4","31"," CCP2_183","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",53.44129555,0.534412955,"",0.428147868151019,0.141889391909598
"14","cedar creek","Prairie","CC_praire2","field_0",12.9,5.354,"field0_4","31"," CCP2_184","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",56.2992126,0.562992126,"",0.446602013678729,0.257379987588707
"15","cedar creek","Prairie","CC_praire2","field_0",12.13333333,4.6605,"field0_4","31"," CCP2_179","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",40.16064257,0.401606426,"",0.337619025949754,-0.394616674781997
"16","cedar creek","Prairie","CC_praire2","field_0",12.9,5.354,"field0_4","31"," CCP2_185","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",56.2992126,0.562992126,"",0.446602013678729,0.257379987588707
"17","cedar creek","Prairie","CC_praire2","field_0",14.83333333,5.102,"field0_5","34"," CCP2_222","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",56.52173913,0.565217391,"",0.448024722332516,0.266434579815072
"18","cedar creek","Prairie","CC_praire2","field_0",12.36666667,5.3,"field0_5","34"," CCP2_223","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",77.13178295,0.771317829,"",0.571723805714382,1.22144549128845
"19","cedar creek","Prairie","CC_praire2","field_0",12.36666667,5.3,"field0_5","34"," CCP2_219","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",38.18897638,0.381889764,"",0.323451956606873,-0.477300547154953
"20","cedar creek","Prairie","CC_praire2","field_0",14.83333333,5.102,"field0_5","34"," CCP2_220","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",40.15444015,0.401544402,"",0.337574772890382,-0.394874561771351
"21","cedar creek","Prairie","CC_praire2","field_0",12.36666667,5.0165,"field0_6","37"," CCP2_254","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",45.12195122,0.451219512,"",0.372404245712822,-0.19170692939355
"22","cedar creek","Prairie","CC_praire2","field_0",12.56666667,4.812,"field0_6","37"," CCP2_256","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",61.8852459,0.618852459,"",0.481717539597793,0.48892203721085
"23","cedar creek","Prairie","CC_praire2","field_0",12.56666667,4.812,"field0_6","37"," CCP2_249","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",29.296875,0.29296875,"",0.2569409308975,-0.87618603079751
"24","cedar creek","Prairie","CC_praire2","field_0",12.36666667,5.0165,"field0_6","37"," CCP2_251","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",38.73517787,0.387351779,"",0.327396734986209,-0.45424573918814
"25","cedar creek","Prairie","CC_praire2","field_5",14.73333333,4.6835,"field5_1","23"," CCP2_78","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",50,0.5,"",0.405465108108164,0.00400000533334614
"26","cedar creek","Prairie","CC_praire2","field_5",17.16666667,4.8075,"field5_1","23"," CCP2_74","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",44.70588235,0.447058824,"",0.369533099207304,-0.208516948014373
"27","cedar creek","Prairie","CC_praire2","field_5",14.73333333,4.6835,"field5_1","23"," CCP2_75","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",45.88235294,0.458823529,"",0.377630308832462,-0.161053101050954
"28","cedar creek","Prairie","CC_praire2","field_5",12.9,4.724,"field5_2","26"," CCP2_106","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",42.30769231,0.423076923,"",0.352821374568688,-0.306059243955956
"29","cedar creek","Prairie","CC_praire2","field_5",15.93333333,4.697,"field5_2","26"," CCP2_107","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",42.7480916,0.427480916,"",0.355911293632045,-0.288051675213316
"30","cedar creek","Prairie","CC_praire2","field_5",12.9,4.724,"field5_2","26"," CCP2_104","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",31.2,0.312,"",0.271552690521897,-0.786131101682196
"31","cedar creek","Prairie","CC_praire2","field_5",15.93333333,4.697,"field5_2","26"," CCP2_109","AM_grass","AM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",43.62934363,0.436293436,"",0.362065792369308,-0.252153843541106
"32","cedar creek","Prairie","CC_praire2","field_5",12.9,5.6155,"field5_3","29"," CCP2_142","EM_forb","EM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",32.17054264,0.321705426,"",0.278922892092105,-0.741366381672507
"33","cedar creek","Prairie","CC_praire2","field_5",13.2,4.9675,"field5_3","29"," CCP2_147","AM_grass","AM","Mel_Black","melanized ","8/29/17","11","1.571428571","0.366666667","0.030136986",41.96078431,0.419607843,"",0.35038066657066,-0.320278638561197
"34","cedar creek","Prairie","CC_praire2","field_5",12.9,5.6155,"field5_3","29"," CCP2_146","EM_forb","EM","Mort","non-melanized","8/29/17","11","1.571428571","0.366666667","0.030136986",40.85603113,0.408560311,"",0.342568126728894,-0.365783322884999
