location,site,exp,location,soil_moisture,pH,plot_Id_pair,unique_plotID,unique_sampID,treatment,myc_assoc,isolate,mel_status,harvest_date,incub_period.days,incub_period.wks,incub_period.months,incub_period.years,mass_remaining ,mt.mo,notes
moores creek,Temperate Forest,MC_forest,AM_2,2.547871471,NA,pair_2,2,MCFor_402,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,45.98994494,0.459899449,
moores creek,Temperate Forest,MC_forest,AM_2,2.547871471,NA,pair_2,2,MCFor_396,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,20.08993217,0.200899322,
moores creek,Temperate Forest,MC_forest,AM_2,5,5.94,pair_2,2,MCFor_401,AM_tree,AM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,32.52026061,0.325202606,
moores creek,Temperate Forest,MC_forest,AM_2,5,5.94,pair_2,2,MCFor_394,AM_tree,AM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,18.16646373,0.181664637,
moores creek,Temperate Forest,MC_forest,AM_2,6.666666667,5.67,pair_2,2,MCFor_398,AM_tree,AM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,22.18910218,0.221891022,
moores creek,Temperate Forest,MC_forest,AM_2,6.666666667,5.67,pair_2,2,MCFor_395,AM_tree,AM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,19.29632525,0.192963253,
moores creek,Temperate Forest,MC_forest,AM_3,8.04566346,NA,pair_3,4,MCFor_409,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,41.78478106,0.417847811,
moores creek,Temperate Forest,MC_forest,AM_3,8.04566346,NA,pair_3,4,MCFor_407,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,25.73049425,0.257304942,
moores creek,Temperate Forest,MC_forest,AM_3,4.466666667,5.45,pair_3,4,MCFor_408,AM_tree,AM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,32.47968103,0.32479681,
moores creek,Temperate Forest,MC_forest,AM_3,4.466666667,5.45,pair_3,4,MCFor_406,AM_tree,AM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,13.09216193,0.130921619,
moores creek,Temperate Forest,MC_forest,AM_3,9.1,5.27,pair_3,4,MCFor_405,AM_tree,AM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,12.52564437,0.125256444,
moores creek,Temperate Forest,MC_forest,AM_3,9.1,5.27,pair_3,4,MCFor_404,AM_tree,AM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,12.47657714,0.124765771,
moores creek,Temperate Forest,MC_forest,AM_4,NA,NA,pair_1,5,MCFor_421,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,NA,NA,hole in lbag
moores creek,Temperate Forest,MC_forest,AM_4,NA,NA,pair_1,5,MCFor_416,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,26.16360228,0.261636023,
moores creek,Temperate Forest,MC_forest,AM_4,12.2,4.59,pair_1,5,MCFor_418,AM_tree,AM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,30.38280307,0.303828031,
moores creek,Temperate Forest,MC_forest,AM_4,12.2,4.59,pair_1,5,MCFor_413,AM_tree,AM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,18.1007597,0.181007597,
moores creek,Temperate Forest,MC_forest,AM_4,15.56666667,4.04,pair_1,5,MCFor_410,AM_tree,AM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,7.796203197,0.077962032,
moores creek,Temperate Forest,MC_forest,AM_4,15.56666667,4.04,pair_1,5,MCFor_411,AM_tree,AM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,11.25296443,0.112529644,
moores creek,Temperate Forest,MC_forest,AM_5,9.695610144,NA,pair_4,7,MCFor_432,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,57.72898906,0.577289891,
moores creek,Temperate Forest,MC_forest,AM_5,9.695610144,NA,pair_4,7,MCFor_429,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,26.9752405,0.269752405,
moores creek,Temperate Forest,MC_forest,AM_5,8.2,4.27,pair_4,7,MCFor_430,AM_tree,AM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,39.86265023,0.398626502,
moores creek,Temperate Forest,MC_forest,AM_5,8.2,4.27,pair_4,7,MCFor_427,AM_tree,AM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,21.61866294,0.216186629,
moores creek,Temperate Forest,MC_forest,AM_5,11.9,3.88,pair_4,7,MCFor_422,AM_tree,AM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,15.00763359,0.150076336,
moores creek,Temperate Forest,MC_forest,AM_5,11.9,3.88,pair_4,7,MCFor_425,AM_tree,AM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,20.38566435,0.203856643,
moores creek,Temperate Forest,MC_forest,AM_6,8.451010714,NA,pair_7,9,MCFor_444,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,39.56217298,0.39562173,
moores creek,Temperate Forest,MC_forest,AM_6,8.451010714,NA,pair_7,9,MCFor_439,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,14.22580774,0.142258077,
moores creek,Temperate Forest,MC_forest,AM_6,7.1,5.39,pair_7,9,MCFor_441,AM_tree,AM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,22.16107064,0.221610706,
moores creek,Temperate Forest,MC_forest,AM_6,7.1,5.39,pair_7,9,MCFor_434,AM_tree,AM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,6.290916134,0.062909161,
moores creek,Temperate Forest,MC_forest,AM_6,7.3,4.78,pair_7,9,MCFor_435,AM_tree,AM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,9.419830388,0.094198304,
moores creek,Temperate Forest,MC_forest,AM_6,7.3,4.78,pair_7,9,MCFor_436,AM_tree,AM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,10.33911018,0.103391102,
moores creek,Temperate Forest,MC_forest,AM_7,9.641434669,NA,pair_6,11,MCFor_457,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,53.43544176,0.534354418,
moores creek,Temperate Forest,MC_forest,AM_7,9.641434669,NA,pair_6,11,MCFor_450,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,19.04780595,0.19047806,
moores creek,Temperate Forest,MC_forest,AM_7,8.166666667,4.4,pair_6,11,MCFor_455,AM_tree,AM,Mel_Black,melanized ,8/14/17,31,4.428571429,1.033333333,0.116981132,44.02582997,0.4402583,
moores creek,Temperate Forest,MC_forest,AM_7,8.166666667,4.4,pair_6,11,MCFor_448,AM_tree,AM,Mort,non-melanized,8/14/17,31,4.428571429,1.033333333,0.116981132,13.15936478,0.131593648,
moores creek,Temperate Forest,MC_forest,AM_7,8.6,3.89,pair_6,11,MCFor_452,AM_tree,AM,Mel_Black,melanized ,10/13/17,92,13.14285714,3.066666667,0.347169811,24.484,0.24484,
moores creek,Temperate Forest,MC_forest,AM_7,8.6,3.89,pair_6,11,MCFor_446,AM_tree,AM,Mort,non-melanized,10/13/17,92,13.14285714,3.066666667,0.347169811,8.531296772,0.085312968,
moores creek,Temperate Forest,MC_forest,AM_8,8.972430755,NA,pair_5,13,MCFor_467,AM_tree,AM,Mel_Black,melanized ,7/27/17,14,2,0.466666667,0.052830189,50.08610568,0.500861057,
moores creek,Temperate Forest,MC_forest,AM_8,8.972430755,NA,pair_5,13,MCFor_460,AM_tree,AM,Mort,non-melanized,7/27/17,14,2,0.466666667,0.052830189,14.40118708,0.144011871,
