site,veg_type,exp,location,plot_Id,unique_plotID,DNA_sample.id,unique_sampID,treatment,myc_assoc,isolate,mel_status,incub_period.days,incub_period.wks,incub_period.years,Notes
moores creek,Forest,MC_forest,EM_8,8,14,1,MCFor_458,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_8,8,14,2,MCFor_466,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_8,8,14,3,MCFor_462,EM_tree,EM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_8,8,14,4,MCFor_468,EM_tree,EM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_8,8,14,5,MCFor_461,EM_tree,EM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_8,8,14,6,MCFor_469,EM_tree,EM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_8,8,13,7,MCFor_459,AM_tree,AM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_8,8,13,8,MCFor_465,AM_tree,AM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_8,8,13,9,MCFor_460,AM_tree,AM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_8,8,13,10,MCFor_467,AM_tree,AM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_8,8,13,11,MCFor_463,AM_tree,AM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_8,8,13,12,MCFor_464,AM_tree,AM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_2,2,3,13,MCFor_393,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
