site,veg_type,exp,location,plot_Id,DNA_sample.id,myc_assoc,sample_type,,,,,
moores creek,Forest,MC_forest,EM_1,1,85,EM,soil,,,,,
moores creek,Forest,MC_forest,AM_2,2,86,AM,soil,,,,,
moores creek,Forest,MC_forest,EM_2,2,87,EM,soil,,,,,
moores creek,Forest,MC_forest,AM_3,3,88,AM,soil,,,,,
moores creek,Forest,MC_forest,AM_4,4,89,AM,soil,,,,,
moores creek,Forest,MC_forest,EM_4,4,90,EM,soil,,,,,
moores creek,Forest,MC_forest,AM_5,5,91,AM,soil,,,,,
moores creek,Forest,MC_forest,EM_5,5,92,EM,soil,,,,,
moores creek,Forest,MC_forest,AM_6,6,93,AM,soil,,,,,
moores creek,Forest,MC_forest,EM_6,6,94,EM,soil,,,,,
moores creek,Forest,MC_forest,AM_7,7,95,AM,soil,,,,,
moores creek,Forest,MC_forest,EM_7,7,96,EM,soil,,,,,
moores creek,Forest,MC_forest,AM_8,8,97,AM,soil,,,,,
moores creek,Forest,MC_forest,EM_8,8,98,EM,soil,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,284,EM,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_5,Oak_1,285,Mixed,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_20,Oak_1,286,AM,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,287,EM,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_5,Oak_2,288,Mixed,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_20,Oak_2,289,AM,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,290,EM,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_5,Oak_3,291,Mixed,Sand,,,,,
cedar creek,Oak Savanna,CC_savanna,transect_20,Oak_3,292,AM,Sand,,,,,
,,,,,177,,Positive Control,,,,,
,,,,,178,,Negative Control,,,,,
