site	isolate	incub_period.days	length	mean	sd	se
Oak Savanna	Mel_Black	14	6	48.6041300216667	8.72933138522083	3.56373461490895
Oak Savanna	Mel_Black	28	6	28.96743569	8.2618125711692	3.37287085831268
Oak Savanna	Mel_Black	42	6	23.700116645	7.85188779532923	3.20551976935723
Oak Savanna	Mel_Black	56	6	21.6971916983333	8.33361040275497	3.40218220031658
Oak Savanna	Mort	14	6	26.8072649016667	3.30401085861525	1.34885678470371
Oak Savanna	Mort	28	6	20.243328585	3.3750659940138	1.37786492225885
Oak Savanna	Mort	42	6	16.8259971516667	2.82414371809762	1.15295184493761
Oak Savanna	Mort	56	6	14.1220322883333	2.03552763644462	0.831000677770463
Prairie	Mel_Black	11	22	51.4273611509091	9.67451824834919	2.06261422094347
Prairie	Mel_Black	34	11	34.2829284090909	7.62416715243869	2.29877288941741
Prairie	Mort	7	8	45.25208333375	20.4481369466911	7.22950814881822
Prairie	Mort	11	24	41.6168622329167	6.19823527124358	1.265209476689
Prairie	Mort	14	8	27.1753205125	7.46973329242404	2.64094953236398
Prairie	Mort	21	8	27.0875	9.33218368707988	3.29942518420633
Prairie	Mort	34	11	26.8511735563636	3.91584411953658	1.1806714256384
Temperate Forest	Mel_Black	14	13	51.2056224776923	6.06735337432021	1.68278105365161
Temperate Forest	Mel_Black	31	14	33.4098334857143	5.99410931199926	1.60199309888375
Temperate Forest	Mel_Black	92	13	19.5025494203846	6.86824964276574	1.90490971228301
Temperate Forest	Mort	14	14	22.2424109860714	6.43360542735614	1.71945337648972
Temperate Forest	Mort	31	14	16.1057891395714	4.56750304809199	1.22071653707185
Temperate Forest	Mort	92	14	15.7058776027143	5.38429436637363	1.43901319917909
