term	statistic	df	p.value
(Intercept)	30.5058945876584	1	3.32853618104154e-08
veg_type	70.7327831112342	2	4.37090434785919e-16
pH	3.29129599562665	1	0.0696480279040099
soil_moisture	4.19454208443799	1	0.0405543043467548
isolate	93.259303251666	3	4.36887794553847e-20
incub_period.days	0.065769272669697	1	0.797599364507226
myc_assoc	0.775517172670291	2	0.67857614104489
veg_type:isolate	15.4707697343457	2	0.000437084128716036
veg_type:incub_period.days	24.493170302062	1	7.45737091311914e-07
isolate:incub_period.days	16.7957452120417	2	0.000225346214784297
